uid,day,1,2,3,4,5,6,7,8
fc3ee4242a63411fbdbb8289655459da,0,F,F,F,F,F,F,F,F
fc3ee4242a63411fbdbb8289655459da,1,F,12B,11A,F,11A,11A,12B,12B
fc3ee4242a63411fbdbb8289655459da,2,F,F,F,F,F,F,F,F
fc3ee4242a63411fbdbb8289655459da,3,F,F,F,F,F,F,F,F
fc3ee4242a63411fbdbb8289655459da,4,F,12B,11A,8E,12B,12B,F,F
fc3ee4242a63411fbdbb8289655459da,5,F,F,F,F,F,F,F,F
ff0e157185e14f119c9c964f540d8798,0,F,F,F,F,F,F,F,F
ff0e157185e14f119c9c964f540d8798,1,12A,11B,11B,F,7D,F,F,F
ff0e157185e14f119c9c964f540d8798,2,F,F,F,F,F,F,F,F
ff0e157185e14f119c9c964f540d8798,3,F,F,F,F,F,F,F,F
ff0e157185e14f119c9c964f540d8798,4,12A,11B,11B,F,7D,F,12A,12A
ff0e157185e14f119c9c964f540d8798,5,F,F,F,F,F,F,F,F
234f226c562c46ebbafec1071578f329,0,F,F,F,F,F,F,F,F
234f226c562c46ebbafec1071578f329,1,11A,F,12B,F,11A,11A,12B,12B
234f226c562c46ebbafec1071578f329,2,F,F,F,F,F,F,F,F
234f226c562c46ebbafec1071578f329,3,F,F,F,F,F,F,F,F
234f226c562c46ebbafec1071578f329,4,11A,F,12B,6E,12B,12B,6E,F
234f226c562c46ebbafec1071578f329,5,F,F,F,F,F,F,F,F
727867f321ee418591274effc5a38800,0,F,F,F,F,F,F,F,F
727867f321ee418591274effc5a38800,1,11B,11B,F,12A,F,7B,F,F
727867f321ee418591274effc5a38800,2,F,F,F,F,F,F,F,F
727867f321ee418591274effc5a38800,3,F,F,F,F,F,F,F,F
727867f321ee418591274effc5a38800,4,11B,11B,11B,12A,F,7B,12A,12A
727867f321ee418591274effc5a38800,5,F,F,F,F,F,F,F,F
1f442d7862da4927af7ece0cf6aa24bc,0,F,F,F,F,F,F,F,F
1f442d7862da4927af7ece0cf6aa24bc,1,12B,F,8A,F,F,11B,11B,F
1f442d7862da4927af7ece0cf6aa24bc,2,F,F,F,F,F,F,F,F
1f442d7862da4927af7ece0cf6aa24bc,3,F,F,F,F,F,F,F,F
1f442d7862da4927af7ece0cf6aa24bc,4,12B,F,8A,11B,F,11B,F,12B
1f442d7862da4927af7ece0cf6aa24bc,5,F,F,F,F,F,F,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,0,F,F,F,F,F,F,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,1,F,F,F,F,F,F,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,2,F,F,F,F,F,F,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,3,F,F,F,F,F,F,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,4,F,11A,11C,12B,F,11A,F,F
b7ff3feb7ba9407d8c34bc4853889bc2,5,F,F,F,F,F,F,F,F
0cb14f895ac145b2b8dd4586819e9ac1,0,F,F,F,F,F,F,F,F
0cb14f895ac145b2b8dd4586819e9ac1,1,F,F,F,F,F,F,F,F
0cb14f895ac145b2b8dd4586819e9ac1,2,F,F,F,F,F,F,F,F
0cb14f895ac145b2b8dd4586819e9ac1,3,F,F,F,F,F,F,F,F
0cb14f895ac145b2b8dd4586819e9ac1,4,F,12C,12A,F,11B,12A,11B,F
0cb14f895ac145b2b8dd4586819e9ac1,5,F,F,F,F,F,F,F,F
204390c57fbd48e5a18972f60f889f98,0,F,F,F,F,F,F,F,F
204390c57fbd48e5a18972f60f889f98,1,F,F,F,F,F,F,F,F
204390c57fbd48e5a18972f60f889f98,2,F,F,F,F,F,F,F,F
204390c57fbd48e5a18972f60f889f98,3,F,F,F,F,F,F,F,F
204390c57fbd48e5a18972f60f889f98,4,F,11C,F,12D,11A,11C,12B,F
204390c57fbd48e5a18972f60f889f98,5,F,F,F,F,F,F,F,F
52228c44d3834119b7de36ca5541fc24,0,F,F,F,F,F,F,F,F
52228c44d3834119b7de36ca5541fc24,1,F,F,F,F,F,F,F,F
52228c44d3834119b7de36ca5541fc24,2,F,F,F,F,F,F,F,F
52228c44d3834119b7de36ca5541fc24,3,F,F,F,F,F,F,F,F
52228c44d3834119b7de36ca5541fc24,4,F,12A,F,12C,F,11D,F,11B
52228c44d3834119b7de36ca5541fc24,5,F,F,F,F,F,F,F,F
80a98fdaed2e4cb888af68178a1ea8d0,0,F,F,F,F,F,F,F,F
80a98fdaed2e4cb888af68178a1ea8d0,1,F,F,F,F,F,F,F,F
80a98fdaed2e4cb888af68178a1ea8d0,2,F,F,F,F,F,F,F,F
80a98fdaed2e4cb888af68178a1ea8d0,3,F,F,F,F,F,F,F,F
80a98fdaed2e4cb888af68178a1ea8d0,4,F,12D,F,12B,11B,8A,11D,8A
80a98fdaed2e4cb888af68178a1ea8d0,5,F,F,F,F,F,F,F,F
92e5e1623adf4f9bb41fdd69cfa46f9d,0,F,F,F,F,F,F,F,F
92e5e1623adf4f9bb41fdd69cfa46f9d,1,F,F,F,F,F,F,F,F
92e5e1623adf4f9bb41fdd69cfa46f9d,2,F,F,F,F,F,F,F,F
92e5e1623adf4f9bb41fdd69cfa46f9d,3,F,F,F,F,F,F,F,F
92e5e1623adf4f9bb41fdd69cfa46f9d,4,11D,11D,F,7E,12D,7A,12D,11D
92e5e1623adf4f9bb41fdd69cfa46f9d,5,F,F,F,F,F,F,F,F
4344ae8ced814512b6753803628b6262,0,F,F,F,F,F,F,F,F
4344ae8ced814512b6753803628b6262,1,F,F,F,F,F,F,F,F
4344ae8ced814512b6753803628b6262,2,F,F,F,F,F,F,F,F
4344ae8ced814512b6753803628b6262,3,F,F,F,F,F,F,F,F
4344ae8ced814512b6753803628b6262,4,12C,F,12D,11D,11C,12D,11C,12C
4344ae8ced814512b6753803628b6262,5,F,F,F,F,F,F,F,F
b462c1ed89104f7baaea6f10f03d6101,0,F,F,F,F,F,F,F,F
b462c1ed89104f7baaea6f10f03d6101,1,F,F,F,F,F,F,F,F
b462c1ed89104f7baaea6f10f03d6101,2,F,F,F,F,F,F,F,F
b462c1ed89104f7baaea6f10f03d6101,3,F,F,F,F,F,F,F,F
b462c1ed89104f7baaea6f10f03d6101,4,11C,F,12C,11C,12C,F,12C,11C
b462c1ed89104f7baaea6f10f03d6101,5,F,F,F,F,F,F,F,F
977a8b0922d04bd3b140c991c3d61193,0,F,F,F,F,F,F,F,F
977a8b0922d04bd3b140c991c3d61193,1,F,F,F,F,F,F,F,F
977a8b0922d04bd3b140c991c3d61193,2,F,F,F,F,F,F,F,F
977a8b0922d04bd3b140c991c3d61193,3,F,F,F,F,F,F,F,F
977a8b0922d04bd3b140c991c3d61193,4,12D,F,F,8D,11D,F,F,12D
977a8b0922d04bd3b140c991c3d61193,5,F,F,F,F,F,F,F,F
7811fa73f4f14534bb42836a847e2f3d,0,F,F,F,F,F,F,F,F
7811fa73f4f14534bb42836a847e2f3d,1,F,F,F,F,F,F,F,F
7811fa73f4f14534bb42836a847e2f3d,2,F,F,F,F,F,F,F,F
7811fa73f4f14534bb42836a847e2f3d,3,F,F,F,F,F,F,F,F
7811fa73f4f14534bb42836a847e2f3d,4,F,12C,11C,11A,12A,F,11A,11A
7811fa73f4f14534bb42836a847e2f3d,5,F,F,F,F,F,F,F,F
e3178eecbbf64489bdf4a0f5307d1abf,0,F,F,F,F,F,F,F,F
e3178eecbbf64489bdf4a0f5307d1abf,1,F,F,F,F,F,F,F,F
